Id;Name;Address;Location;Province;Zip_Code;Items;Weight;Node_Type;TW_Start;TW_End;Latitude;Longitude;Email;Phone
0;Depot;Ctra. Nacional 331;Antequera;MALAGA;29200;0;0;DEPOT;0:00;23:59;37,0452693;-4,512310623;depot@depot.com;954678584
1;HOSPITAL UNIVERSITARIO PUERTA DEL MAR;AV. ANA DE VIYA, 21;Cádiz;CÁDIZ;11009;738;88973,28;GENERAL;3:00;23:59;36,5091163;-6,277863885;gerencia.hpm.sspa@juntadeandalucia.es;956002040
2;CLÍNICA LA SALUD;FEDUCHY, 8-14;Cádiz;CÁDIZ;11001;-58;6992,48;GENERAL;3:00;23:59;36,53202404;-6,295845719;administracion@clinicalasalud.es;956225301
3;HOSPITAL SAN RAFAEL;DIEGO ARIAS, 2;Cádiz;CÁDIZ;11002;-280;33756,8;GENERAL;3:00;23:59;36,53279794;-6,302521294;cadiz.secretaria@jmpascual.com;956017267
4;CLÍNICA  LOS ÁLAMOS;AV. DE TAMARIX, 4;Jerez de la Frontera;CÁDIZ;11407;15;1808,4;GENERAL;3:00;23:59;36,70394921;-6,130733679;rrhh@clinicalosalamos.com;956182244
5;HOSPITAL UNIVERSITARIO DE JEREZ DE LA FRONTERA;RONDA DE CIRCUNVALACIÓN, S/N;Jerez de la Frontera;CÁDIZ;11408;498;60038,88;GENERAL;3:00;23:59;36,69139729;-6,149801056;manuel.herrera.sspa@juntadeandalucia.es;956032075
6;HOSPITAL SAN JUAN GRANDE;GLORIETA FÉLIX RODRIGUEZ DE LA FUENTE, S/N;Jerez de la Frontera;CÁDIZ;11408;143;17240,08;GENERAL;3:00;23:59;36,69146752;-6,148778453;jerez@sjd.es;956357300
7;HOSPITAL  DE LA LÍNEA DE LA CONCEPCIÓN;AV. MENÉNDEZ Y PELAYO, 103;Línea de la Concepción, La;CÁDIZ;11300;180;21700,8;GENERAL;3:00;23:59;36,17045125;-5,340636423;franciscoj.martos.sspa@juntadeandalucia.es;956026500
8;HOSPITAL GENERAL SANTA MARÍA DEL PUERTO;VALDÉS, S/N;Puerto de Santa María, El;CÁDIZ;11500;-238;28693,28;GENERAL;3:00;23:59;36,5965943;-6,234097922;stamaria.secretaria@jmpascual.com;956017000
9;HOSPITAL UNIVERSITARIO DE PUERTO REAL;CARRETERA NACIONAL IV, KM. 665;Puerto Real;CÁDIZ;11510;319;38458,64;GENERAL;3:00;23:59;36,52038454;-6,151459495;;956005147
10;HOSPITAL VIRGEN DE LAS MONTAÑAS;AV. AMBULATORIO S/N;Villamartín;CÁDIZ;11650;108;13020,48;GENERAL;3:00;23:59;36,860715;-5,648152446;cesar@jmpascual.com;956041000
